CM_py,CM_Star_py,CSe
144.0226654,9.286121411,4.964904158
72.73057532,8.281957347,4.142664356
132.210375,9.055533915,3.227328016
65.70439786,8.259284058,4.087462841
132.7527642,9.096991751,4.786425874
60.19120798,8.004521402,3.106890596
91.59012467,8.63074243,4.21366069
64.12681432,8.022440372,3.337175341
206.8884611,9.892638128,5.041503901
144.1022056,9.26687649,3.660986394
71.93911738,7.914985157,4.095795255
48.17235161,7.569479803,3.546593564
95.37462681,8.57852091,4.208410187
52.69342188,7.824294868,3.773557262
58.44256332,7.885174551,3.327819531
68.54121136,8.152314714,3.572431251
37.00259606,7.402534098,3.169925001
36.1978253,7.198900431,2.921928095
91.59012467,8.63074243,4.21366069
